experiment_id,candidate_id,sample_id,feature_id,reference_attribution,candidate_attribution,absolute_error,relative_error,sign_agreement,top_1_overlap,top_3_overlap,top_5_overlap,top_10_overlap,top_20_overlap,pass
EXP-EMBED-C1-PREPROC-REPAIR-001,C1-PREPROC-P0-BASELINE,GOLD-MODEL-C1-B2-R00000,F000,0.05242000788974169,0.0524200127,4.810258309728699e-09,9.176378454284896e-08,True,1.0,1.0,1.0,1.0,1.0,True
EXP-EMBED-C1-PREPROC-REPAIR-001,C1-PREPROC-P0-BASELINE,GOLD-MODEL-C1-B2-R00000,F001,-0.07133625688762123,-0.0713362619,5.012378775925974e-09,7.026411245297281e-08,True,1.0,1.0,1.0,1.0,1.0,True
EXP-EMBED-C1-PREPROC-REPAIR-001,C1-PREPROC-P0-BASELINE,GOLD-MODEL-C1-B2-R00000,F002,0.06601366045683801,0.066013664,3.543161986030441e-09,5.367316342572885e-08,True,1.0,1.0,1.0,1.0,1.0,True
EXP-EMBED-C1-PREPROC-REPAIR-001,C1-PREPROC-P0-BASELINE,GOLD-MODEL-C1-B2-R00000,F003,0.07491943906736251,0.0749194399,8.326374867362318e-10,1.1113770966538876e-08,True,1.0,1.0,1.0,1.0,1.0,True
EXP-EMBED-C1-PREPROC-REPAIR-001,C1-PREPROC-P0-BASELINE,GOLD-MODEL-C1-B2-R00000,F004,0.062494661987835064,0.0624946579,4.087835063504297e-09,6.541094764701691e-08,True,1.0,1.0,1.0,1.0,1.0,True
EXP-EMBED-C1-PREPROC-REPAIR-001,C1-PREPROC-P0-BASELINE,GOLD-MODEL-C1-B2-R00000,F005,0.007288784195477644,0.00728878425,5.452235624786583e-11,7.480308757350019e-09,True,1.0,1.0,1.0,1.0,1.0,True
EXP-EMBED-C1-PREPROC-REPAIR-001,C1-PREPROC-P0-BASELINE,GOLD-MODEL-C1-B2-R00000,F006,0.017555103789120143,0.0175551046,8.108798563166708e-10,4.61905475500075e-08,True,1.0,1.0,1.0,1.0,1.0,True
EXP-EMBED-C1-PREPROC-REPAIR-001,C1-PREPROC-P0-BASELINE,GOLD-MODEL-C1-B2-R00000,F007,0.08313106437846246,0.08313106,4.378462453713539e-09,5.266939003427349e-08,True,1.0,1.0,1.0,1.0,1.0,True
EXP-EMBED-C1-PREPROC-REPAIR-001,C1-PREPROC-P0-BASELINE,GOLD-MODEL-C1-B2-R00000,F008,0.09304589470581044,0.0930458978,3.094189557351079e-09,3.325444467092492e-08,True,1.0,1.0,1.0,1.0,1.0,True
EXP-EMBED-C1-PREPROC-REPAIR-001,C1-PREPROC-P0-BASELINE,GOLD-MODEL-C1-B2-R00000,F009,-0.06332066868499409,-0.0633206815,1.2815005917543587e-08,2.0238266878221587e-07,True,1.0,1.0,1.0,1.0,1.0,True
EXP-EMBED-C1-PREPROC-REPAIR-001,C1-PREPROC-P0-BASELINE,GOLD-MODEL-C1-B2-R00000,F010,0.14241947551516126,0.142419472,3.5151612731709747e-09,2.4681745670357902e-08,True,1.0,1.0,1.0,1.0,1.0,True
EXP-EMBED-C1-PREPROC-REPAIR-001,C1-PREPROC-P0-BASELINE,GOLD-MODEL-C1-B2-R00000,F011,0.18560993625814218,0.185609937,7.418578251705554e-10,3.996864823760276e-09,True,1.0,1.0,1.0,1.0,1.0,True
EXP-EMBED-C1-PREPROC-REPAIR-001,C1-PREPROC-P0-BASELINE,GOLD-MODEL-C1-B2-R00000,F012,0.14629542379319554,0.146295428,4.206804460338276e-09,2.875554375702859e-08,True,1.0,1.0,1.0,1.0,1.0,True
