experiment_id,model_id,batch,sample_id,vector_length,absolute_tolerance,max_absolute_error,status
EXP-XAI-LATENCY-001,MODEL-C1,2,B2:0,128,1e-12,5.551115123125783e-16,EQUIVALENT
EXP-XAI-LATENCY-001,MODEL-C1,6,B6:0,128,1e-12,0.0,EQUIVALENT
EXP-XAI-LATENCY-001,MODEL-C1,10,B10:0,128,1e-12,5.551115123125783e-16,EQUIVALENT
EXP-XAI-LATENCY-001,MODEL-C2,2,B2:0,128,1e-12,0.0,EQUIVALENT
EXP-XAI-LATENCY-001,MODEL-C2,6,B6:0,128,1e-12,0.0,EQUIVALENT
EXP-XAI-LATENCY-001,MODEL-C2,10,B10:0,128,1e-12,0.0,EQUIVALENT
EXP-XAI-LATENCY-001,MODEL-C3,2,B2:0,128,1e-12,0.0,EQUIVALENT
EXP-XAI-LATENCY-001,MODEL-C3,6,B6:0,128,1e-12,0.0,EQUIVALENT
EXP-XAI-LATENCY-001,MODEL-C3,10,B10:0,128,1e-12,0.0,EQUIVALENT
EXP-XAI-LATENCY-001,MODEL-C4,2,B2:0,128,1e-12,6.661338147750939e-16,EQUIVALENT
EXP-XAI-LATENCY-001,MODEL-C4,6,B6:0,128,1e-12,0.0,EQUIVALENT
EXP-XAI-LATENCY-001,MODEL-C4,10,B10:0,128,1e-12,5.551115123125783e-16,EQUIVALENT
