experiment_id,artifact_path,sha256,rows,status
EXP-XAI-FIDELITY-001,results/xai/stage10_fidelity_global.csv,a0370400e81bfbe51e9ba19979702a958fc5d6114cd6006cb0c0cba6143336ec,270,EXECUTED
EXP-XAI-FIDELITY-001,results/xai/stage10_fidelity_local.csv,7329c862cc38e4908329fcbfc9f3a7ec2f130bb218218b2087b688bc8b0104dd,1096,EXECUTED
EXP-XAI-FIDELITY-001,results/xai/stage10_fidelity_sensor_groups.csv,bc41cf69bf8e866149091e83c426d60ed88fab4cc49bae29e9f51a0fe9a2e040,162,EXECUTED
EXP-XAI-FIDELITY-001,results/xai/stage10_fidelity_feature_families.csv,3a2c0b24e329456f3c74cf73402fa4fba44512da46d8ab3696acc41ac77f718c,216,EXECUTED
EXP-XAI-FIDELITY-001,results/xai/stage10_random_controls.csv,b0da5fec8bece46ca8d1e2f3b42aec38aa7c167c50a2c36b8bf530a304cf353c,45840,EXECUTED
EXP-XAI-FIDELITY-001,results/xai/stage10_bootstrap_ci.csv,6cfea5f68ac26be86864d5036b5555f37aebac6b0065b246b44c6599f541d3ac,688,EXECUTED
EXP-XAI-FIDELITY-001,results/xai/stage10_fidelity_summary.csv,34ec1788f82b8850a101e21e38ce73f91c5f9a9e89933df05e95bd360a84751a,17,EXECUTED
EXP-XAI-FIDELITY-001,results/xai/stage10_input_manifest.csv,b07f87b05f8afa464417b7ecd21a376e534dcd484bb87232e93126671688b464,11,EXECUTED
EXP-XAI-FIDELITY-001,results/figures/fid_01_deletion_vs_random.png,5cf9b63b42ff88701c2bfa74ea6061a24aef9fe0b0f076199a459e309096f184,,EXECUTED
EXP-XAI-FIDELITY-001,results/figures/fid_01_deletion_vs_random.svg,e3d82616b14e8af619ca30264ecc1a0dde81629ab5f7c6c0a46ea16f8251e4cf,,EXECUTED
EXP-XAI-FIDELITY-001,results/figures/sources/fid_01_deletion_vs_random.csv,e8603fd704d0b5381192e9002fc1185f24f666aee230d1be0edf76e75c4b06de,30,EXECUTED
EXP-XAI-FIDELITY-001,results/figures/fid_02_chronological_fidelity.png,674fe8be7dc5b0bf586c6f89280e1185628dd0b1dee13e7072ad6dc2efd4bbc0,,EXECUTED
EXP-XAI-FIDELITY-001,results/figures/fid_02_chronological_fidelity.svg,c87a233865a9149a41fa5a96e53df7ce96d70197b1f4099762e4b8247bab085b,,EXECUTED
EXP-XAI-FIDELITY-001,results/figures/sources/fid_02_chronological_fidelity.csv,029eb39332c15197b281406faadf90c85eef91a181c1edcdd6f4d78b7cf99783,54,EXECUTED
EXP-XAI-FIDELITY-001,results/figures/fid_03_error_conditioned.png,9bf43678190702a63ddc7cfe2bf5cd9ae0821081904f0b8219f2fbd9cba2cd9f,,EXECUTED
EXP-XAI-FIDELITY-001,results/figures/fid_03_error_conditioned.svg,a981d05d6b0e93228be53398f51af3dfcbf73dd86dbebda95fb4a60c05e4a751,,EXECUTED
EXP-XAI-FIDELITY-001,results/figures/sources/fid_03_error_conditioned.csv,3518538bb5426fa03d355e9567b8711bd7a64c657845e66459635b805ebd3260,19,EXECUTED
EXP-XAI-FIDELITY-001,results/figures/fid_04_sensor_groups.png,3190775d752df5a1ee04c10e87601a33e9300924d069b9835b7d277c30fabb25,,EXECUTED
EXP-XAI-FIDELITY-001,results/figures/fid_04_sensor_groups.svg,5180f37da060fcffda2044230ffa07ba470e3d7f164fde3c7bfb453e0451760d,,EXECUTED
EXP-XAI-FIDELITY-001,results/figures/sources/fid_04_sensor_groups.csv,dc96057b43625f3e68e577b729ba81c03800c121ca5ec515c2f2054e720189b7,18,EXECUTED
