experiment_id,artifact_path,sha256,rows,status
EXP-XAI-LATENCY-001,results/xai/stage12_raw_timings.csv,f4afe852c4a7b3cc4dd1cae6811563d52150999f4a61cc94d7a80a84b5c250fa,61550,EXECUTED
EXP-XAI-LATENCY-001,results/xai/stage12_baseline_inference.csv,1ada8a57ad3ac7876811feda80b80e28c7957403463c6929cafa93cb119bb249,36,EXECUTED
EXP-XAI-LATENCY-001,results/xai/stage12_global_latency.csv,f6c4ee7c54c4f7510eec82b2b0c0ed13ed7899b527148daf0ae8492dcdbf77c3,24,EXECUTED
EXP-XAI-LATENCY-001,results/xai/stage12_local_latency.csv,9c4389f549adaaa3e8961d776a29956fa3b37cce475b5d18ddbeb81554df26a9,117,EXECUTED
EXP-XAI-LATENCY-001,results/xai/stage12_operation_counts.csv,25bb60b5462fff54dd0b9e5870a4931a620151763349b053317ed79cb7738ff3,15,EXECUTED
EXP-XAI-LATENCY-001,results/xai/stage12_latency_summary.csv,3018b6c8b0fd81312eb95c7ad1563dc2308a9d8bf0fa6dc92b68e9805e10e4fd,181,EXECUTED
EXP-XAI-LATENCY-001,results/xai/stage12_bootstrap_ci.csv,da40f0a154931febaa2af49b3ff5995872dc18e66f645b85c44ae608c52b7380,181,EXECUTED
EXP-XAI-LATENCY-001,results/xai/stage12_fidelity_stability_cost.csv,7ea41414ffe8f7a7c777c242f0121282a9afb7ab160cd0cb0b2fbb88694a9d7d,15,EXECUTED
EXP-XAI-LATENCY-001,results/xai/stage12_input_manifest.csv,b9e948a9dee23dfe8c5249034d53a1308c5e7b93002d4f62f486b57f4204cf16,12,EXECUTED
EXP-XAI-LATENCY-001,results/xai/stage12_host_environment.json,302d5b15d187e839d8279e738b03273eca895e6b530f3092f463484f06fc3144,,EXECUTED
EXP-XAI-LATENCY-001,results/xai/stage12_thread_environment.json,f34c73cfa8398c972ed37d7f2ef951c32e9e3d671ed82165fa7bcf36f9f0800e,,EXECUTED
EXP-XAI-LATENCY-001,results/xai/stage12_ablation_equivalence.csv,723e392771718fc514eecb744690ac02d94248a701f4e9a6564114664fffebc6,12,EXECUTED
EXP-XAI-LATENCY-001,results/xai/stage12_claim_evaluation.csv,abd6bcfe2ab2f76e9815ef3bf50d36f0dbc6fbf1d41fd01161c78633583c0bc8,4,EXECUTED
EXP-XAI-LATENCY-001,results/figures/sources/lat_01_baseline_host_inference.csv,93eb8a7a88a3db655c7a60eb80cdc7ea1eac3d01b7068374f0d4547f13fd7b84,4,EXECUTED
EXP-XAI-LATENCY-001,results/figures/lat_01_baseline_host_inference.png,5af10af19f55d9c2e5a062916ab2144b8169d7357fafa289ef7416f7878254de,,EXECUTED
EXP-XAI-LATENCY-001,results/figures/lat_01_baseline_host_inference.svg,4c21af47af509532a063d3d7fb78ca640c93e65251e55fad3b9f1fb2c61cbb37,,EXECUTED
EXP-XAI-LATENCY-001,results/figures/sources/lat_02_local_explanation.csv,b457b42b1afc61059cfe8de704f9c5124d298ad83c38805016676173e9ca5c57,9,EXECUTED
