experiment_id,sample_id,model_id,batch,row_index_in_batch,true_label,predicted_label,correct,prediction_margin,category
EXP-XAI-0001,B2:0,MODEL-C1,2,0,1,1,True,0.8904464559989833,CORRECT_REPRESENTATIVE
EXP-XAI-0001,B2:1,MODEL-C1,2,1,1,1,True,0.9492125085493465,CORRECT_REPRESENTATIVE
EXP-XAI-0001,B2:70,MODEL-C1,2,70,2,2,True,0.9994923651089757,CORRECT_REPRESENTATIVE
EXP-XAI-0001,B2:71,MODEL-C1,2,71,2,2,True,0.999908657819906,CORRECT_REPRESENTATIVE
EXP-XAI-0001,B2:121,MODEL-C1,2,121,2,1,False,0.27666829307156166,MISCLASSIFIED
EXP-XAI-0001,B2:122,MODEL-C1,2,122,2,1,False,0.0077864683195280615,"MISCLASSIFIED,NEAR_DECISION_BOUNDARY"
EXP-XAI-0001,B2:135,MODEL-C1,2,135,2,1,False,0.07532439702108296,MISCLASSIFIED
EXP-XAI-0001,B2:149,MODEL-C1,2,149,2,1,False,0.012035542918334419,MISCLASSIFIED
EXP-XAI-0001,B2:165,MODEL-C1,2,165,2,1,False,0.10362164205326524,MISCLASSIFIED
EXP-XAI-0001,B2:211,MODEL-C1,2,211,5,5,True,0.018775368860346253,CORRECT_REPRESENTATIVE
EXP-XAI-0001,B2:212,MODEL-C1,2,212,5,5,True,0.2785855511141946,CORRECT_REPRESENTATIVE
EXP-XAI-0001,B2:322,MODEL-C1,2,322,2,2,True,0.011007361379607894,NEAR_DECISION_BOUNDARY
EXP-XAI-0001,B2:473,MODEL-C1,2,473,6,6,True,0.46636266522393016,CORRECT_REPRESENTATIVE
EXP-XAI-0001,B2:474,MODEL-C1,2,474,6,6,True,0.6991288535530839,CORRECT_REPRESENTATIVE
EXP-XAI-0001,B2:495,MODEL-C1,2,495,2,1,False,0.007063840710685609,NEAR_DECISION_BOUNDARY
EXP-XAI-0001,B2:534,MODEL-C1,2,534,3,3,True,0.17696157421673525,CORRECT_REPRESENTATIVE
EXP-XAI-0001,B2:535,MODEL-C1,2,535,3,3,True,0.1024256571494514,CORRECT_REPRESENTATIVE
EXP-XAI-0001,B2:540,MODEL-C1,2,540,3,1,False,0.0010022817976574894,NEAR_DECISION_BOUNDARY
EXP-XAI-0001,B2:778,MODEL-C1,2,778,5,5,True,0.004749732879127222,NEAR_DECISION_BOUNDARY
EXP-XAI-0001,B6:0,MODEL-C1,6,0,2,2,True,0.999999998072586,CORRECT_REPRESENTATIVE
EXP-XAI-0001,B6:1,MODEL-C1,6,1,2,2,True,0.9999994630463838,CORRECT_REPRESENTATIVE
EXP-XAI-0001,B6:23,MODEL-C1,6,23,1,1,True,0.9999996497878586,CORRECT_REPRESENTATIVE
EXP-XAI-0001,B6:24,MODEL-C1,6,24,1,1,True,0.999881259407436,CORRECT_REPRESENTATIVE
EXP-XAI-0001,B6:387,MODEL-C1,6,387,3,1,False,0.9078000016983032,MISCLASSIFIED
EXP-XAI-0001,B6:388,MODEL-C1,6,388,3,1,False,0.8708205647930576,MISCLASSIFIED
EXP-XAI-0001,B6:389,MODEL-C1,6,389,3,1,False,0.8464447546347713,MISCLASSIFIED
EXP-XAI-0001,B6:390,MODEL-C1,6,390,3,1,False,0.7018635870845874,MISCLASSIFIED
EXP-XAI-0001,B6:391,MODEL-C1,6,391,3,1,False,0.6023760939801523,MISCLASSIFIED
EXP-XAI-0001,B6:488,MODEL-C1,6,488,3,3,True,0.1296829671642979,CORRECT_REPRESENTATIVE
EXP-XAI-0001,B6:1461,MODEL-C1,6,1461,5,3,False,0.0016263730517820374,NEAR_DECISION_BOUNDARY
EXP-XAI-0001,B6:1463,MODEL-C1,6,1463,5,3,False,0.003984518173869411,NEAR_DECISION_BOUNDARY
EXP-XAI-0001,B6:1464,MODEL-C1,6,1464,5,3,False,0.0005856692444225486,NEAR_DECISION_BOUNDARY
EXP-XAI-0001,B6:1539,MODEL-C1,6,1539,5,1,False,0.00476235081569687,NEAR_DECISION_BOUNDARY
EXP-XAI-0001,B6:1562,MODEL-C1,6,1562,5,1,False,0.0031828745775637213,NEAR_DECISION_BOUNDARY
EXP-XAI-0001,B10:0,MODEL-C1,10,0,4,1,False,0.8258673877091185,MISCLASSIFIED
EXP-XAI-0001,B10:1,MODEL-C1,10,1,3,1,False,0.2732660838768399,MISCLASSIFIED
EXP-XAI-0001,B10:2,MODEL-C1,10,2,4,1,False,0.9947764379485631,MISCLASSIFIED
EXP-XAI-0001,B10:3,MODEL-C1,10,3,3,2,False,0.5396440997856663,MISCLASSIFIED
EXP-XAI-0001,B10:4,MODEL-C1,10,4,4,1,False,0.9724013731417827,MISCLASSIFIED
EXP-XAI-0001,B10:9,MODEL-C1,10,9,3,3,True,0.980513281912504,CORRECT_REPRESENTATIVE
EXP-XAI-0001,B10:11,MODEL-C1,10,11,3,3,True,0.8534508552905237,CORRECT_REPRESENTATIVE
EXP-XAI-0001,B10:123,MODEL-C1,10,123,2,2,True,0.8738217916646791,CORRECT_REPRESENTATIVE
EXP-XAI-0001,B10:125,MODEL-C1,10,125,2,2,True,0.9999997121367777,CORRECT_REPRESENTATIVE
EXP-XAI-0001,B10:840,MODEL-C1,10,840,1,1,True,0.9960123177786098,CORRECT_REPRESENTATIVE
EXP-XAI-0001,B10:842,MODEL-C1,10,842,1,1,True,0.9999175481825054,CORRECT_REPRESENTATIVE
EXP-XAI-0001,B10:1514,MODEL-C1,10,1514,6,6,True,0.0854735499998086,CORRECT_REPRESENTATIVE
EXP-XAI-0001,B10:1516,MODEL-C1,10,1516,6,6,True,0.08582829239947898,CORRECT_REPRESENTATIVE
EXP-XAI-0001,B10:1655,MODEL-C1,10,1655,5,5,True,0.4731692804696259,CORRECT_REPRESENTATIVE
EXP-XAI-0001,B10:1663,MODEL-C1,10,1663,5,5,True,0.03296551872528303,CORRECT_REPRESENTATIVE
EXP-XAI-0001,B10:2287,MODEL-C1,10,2287,3,3,True,0.0009591359921924947,NEAR_DECISION_BOUNDARY
EXP-XAI-0001,B10:2363,MODEL-C1,10,2363,3,3,True,0.003277411415770426,NEAR_DECISION_BOUNDARY
EXP-XAI-0001,B10:2847,MODEL-C1,10,2847,3,3,True,0.0027285068397766565,NEAR_DECISION_BOUNDARY
